device = mps
train samples = 156965
dev samples = 73152
trainable params = 4,484,929
loss type = pairwise
lr scheduler = ReduceLROnPlateau(mode=min, factor=0.5, patience=1, min_lr=1e-06)
wandb run name = pairwise-balanced-0404-2354
[epoch 4] step 1600 train_loss=0.5072
[epoch 4] step 1800 train_loss=0.5066
[epoch 4] step 2000 train_loss=0.5060
[epoch 4] step 2200 train_loss=0.5057
[epoch 4] step 2400 train_loss=0.5072
[epoch 4] step 2600 train_loss=0.5063
[epoch 4] step 2800 train_loss=0.5062
[epoch 4] step 3000 train_loss=0.5054
[epoch 4] step 3200 train_loss=0.5056
[epoch 4] step 3400 train_loss=0.5053
[epoch 4] step 3600 train_loss=0.5052
[epoch 4] step 3800 train_loss=0.5061
[epoch 4] step 4000 train_loss=0.5064
[epoch 4] step 4200 train_loss=0.5066
[epoch 4] step 4400 train_loss=0.5068
[epoch 4] step 4600 train_loss=0.5062
[epoch 4] step 4800 train_loss=0.5067
[epoch 4] step 5000 train_loss=0.5061
[epoch 4] step 5200 train_loss=0.5069
[epoch 4] step 5400 train_loss=0.5065
[epoch 4] step 5600 train_loss=0.5063
[epoch 4] step 5800 train_loss=0.5070
[epoch 4] step 6000 train_loss=0.5069
[epoch 4] step 6200 train_loss=0.5071
[epoch 4] step 6400 train_loss=0.5072
[epoch 4] step 6600 train_loss=0.5068
[epoch 4] step 6800 train_loss=0.5074
[epoch 4] step 7000 train_loss=0.5075
[epoch 4] step 7200 train_loss=0.5075
[epoch 4] step 7400 train_loss=0.5074
[epoch 4] step 7600 train_loss=0.5077
[epoch 4] step 7800 train_loss=0.5078
[epoch 4] step 8000 train_loss=0.5082
[epoch 4] step 8200 train_loss=0.5087
[epoch 4] step 8400 train_loss=0.5089
[epoch 4] step 8600 train_loss=0.5090
[epoch 4] step 8800 train_loss=0.5092
[epoch 4] step 9000 train_loss=0.5093
[epoch 4] step 9200 train_loss=0.5099
[epoch 4] step 9400 train_loss=0.5098
[epoch 4] step 9600 train_loss=0.5094
[epoch 4] step 9800 train_loss=0.5097
[epoch 4] step 10000 train_loss=0.5097
[epoch 4] step 10200 train_loss=0.5097
[epoch 4] step 10400 train_loss=0.5097
[epoch 4] step 10600 train_loss=0.5095
[epoch 4] step 10800 train_loss=0.5096
[epoch 4] step 11000 train_loss=0.5092
[epoch 4] step 11200 train_loss=0.5092
[epoch 4] step 11400 train_loss=0.5091
[epoch 4] step 11600 train_loss=0.5087
[epoch 4] step 11800 train_loss=0.5087
[epoch 4] step 12000 train_loss=0.5088
[epoch 4] step 12200 train_loss=0.5089
[epoch 4] step 12400 train_loss=0.5088
[epoch 4] step 12600 train_loss=0.5091
[epoch 4] step 12800 train_loss=0.5094
[epoch 4] step 13000 train_loss=0.5091
[epoch 4] step 13200 train_loss=0.5091
[epoch 4] step 13400 train_loss=0.5092
[epoch 4] step 13600 train_loss=0.5093
[epoch 4] step 13800 train_loss=0.5092
[epoch 4] step 14000 train_loss=0.5089
[epoch 4] step 14200 train_loss=0.5090
[epoch 4] step 14400 train_loss=0.5092
[epoch 4] step 14600 train_loss=0.5091
[epoch 4] step 14800 train_loss=0.5087
[epoch 4] step 15000 train_loss=0.5086
[epoch 4] step 15200 train_loss=0.5087
[epoch 4] step 15400 train_loss=0.5085
[epoch 4] step 15600 train_loss=0.5083
[epoch 4] step 15800 train_loss=0.5087
[epoch 4] step 16000 train_loss=0.5088
[epoch 4] step 16200 train_loss=0.5088
[epoch 4] step 16400 train_loss=0.5089
[epoch 4] step 16600 train_loss=0.5088
[epoch 4] step 16800 train_loss=0.5090
[epoch 4] step 17000 train_loss=0.5089
[epoch 4] step 17200 train_loss=0.5091
[epoch 4] step 17400 train_loss=0.5092
[epoch 4] step 17600 train_loss=0.5093
[epoch 4] step 17800 train_loss=0.5093
[epoch 4] step 18000 train_loss=0.5092
[epoch 4] step 18200 train_loss=0.5092
[epoch 4] step 18400 train_loss=0.5092
[epoch 4] step 18600 train_loss=0.5090
[epoch 4] step 18800 train_loss=0.5090
[epoch 4] step 19000 train_loss=0.5093
[epoch 4] step 19200 train_loss=0.5091
[epoch 4] step 19400 train_loss=0.5092
[epoch 4] step 19600 train_loss=0.5095
[epoch 4] step 19621 train_loss=0.5095
[epoch 4] train_loss=0.5095 dev_loss=0.6047 AUC=0.6453 MRR=0.3523 nDCG@5=0.3316 nDCG@10=0.3972 BrierScore=0.2047 Recall@10=0.6579 selection_score=0.1986
[epoch 4] lr=0.0005
